iter	Passed	Remaining
614	1363	853
615	1364	850
616	1366	848
617	1368	845
618	1370	843
619	1371	840
620	1373	838
621	1376	836
622	1378	833
623	1379	831
624	1381	828
625	1382	826
626	1384	823
627	1386	821
628	1388	818
629	1390	816
630	1391	814
631	1393	811
632	1395	808
633	1396	806
634	1399	804
635	1400	801
636	1402	799
637	1404	797
638	1406	794
639	1407	791
640	1409	789
641	1411	786
642	1412	784
643	1414	781
644	1416	779
645	1417	777
646	1419	774
647	1421	772
648	1422	769
649	1424	767
650	1427	765
651	1429	763
652	1431	760
653	1433	758
654	1434	755
655	1436	753
656	1438	751
657	1440	748
658	1441	746
659	1444	743
660	1445	741
661	1447	739
662	1449	736
663	1451	734
664	1453	732
665	1454	729
666	1457	727
667	1459	725
668	1460	722
669	1462	720
670	1463	717
671	1465	715
672	1467	712
673	1468	710
674	1470	708
675	1472	705
676	1473	703
677	1475	700
678	1477	698
679	1478	695
680	1480	693
681	1482	691
682	1484	688
683	1485	686
684	1487	683
685	1488	681
686	1490	679
687	1492	676
688	1493	674
689	1496	672
690	1498	670
691	1499	667
692	1501	665
693	1503	662
694	1504	660
695	1506	658
696	1508	655
697	1510	653
698	1512	651
699	1513	648
700	1515	646
701	1516	643
702	1518	641
703	1521	639
704	1523	637
705	1524	634
706	1526	632
707	1527	630
708	1529	627
709	1531	625
710	1533	623
711	1535	621
712	1536	618
713	1538	616
714	1540	613
715	1541	611
716	1543	609
717	1545	607
718	1549	605
719	1550	603
720	1552	600
721	1554	598
722	1555	595
723	1557	593
724	1559	591
725	1561	589
726	1563	587
727	1566	585
728	1567	582
729	1569	580
730	1571	578
731	1572	575
732	1575	573
733	1576	571
734	1578	569
735	1579	566
736	1581	564
737	1583	562
738	1584	559
739	1586	557
740	1589	555
741	1591	553
742	1593	551
743	1594	548
744	1596	546
745	1598	544
746	1599	541
747	1602	539
748	1603	537
749	1605	535
750	1606	532
751	1608	530
752	1610	528
753	1612	526
754	1615	524
755	1616	521
756	1618	519
757	1620	517
758	1621	514
759	1623	512
760	1624	510
761	1626	507
762	1629	506
763	1630	503
764	1632	501
765	1634	499
766	1635	496
767	1637	494
768	1638	492
769	1639	489
770	1642	487
771	1644	485
772	1645	483
773	1647	481
774	1649	478
775	1650	476
776	1652	474
777	1655	472
778	1657	470
779	1659	467
780	1660	465
781	1662	463
782	1663	461
783	1665	458
784	1667	456
785	1669	454
786	1671	452
787	1673	450
788	1674	447
789	1676	445
790	1677	443
791	1679	440
792	1680	438
793	1682	436
794	1684	434
795	1686	432
796	1687	429
797	1689	427
798	1690	425
799	1692	423
800	1694	420
801	1696	418
802	1698	416
803	1699	414
804	1701	412
805	1703	409
806	1704	407
807	1707	405
808	1708	403
809	1710	401
810	1711	398
811	1713	396
812	1715	394
813	1717	392
814	1719	390
815	1721	388
816	1722	385
817	1723	383
818	1725	381
819	1726	379
820	1728	376
821	1730	374
822	1731	372
823	1733	370
824	1736	368
825	1738	366
826	1740	364
827	1742	361
828	1743	359
829	1745	357
830	1747	355
831	1748	353
832	1750	350
833	1751	348
834	1754	346
835	1756	344
836	1758	342
837	1761	340
838	1763	338
839	1764	336
840	1766	333
841	1768	331
842	1769	329
843	1771	327
844	1775	325
845	1776	323
846	1778	321
847	1780	319
848	1781	316
849	1783	314
850	1784	312
851	1787	310
852	1788	308
853	1790	306
854	1791	303
855	1793	301
856	1794	299
857	1796	297
858	1798	295
859	1801	293
860	1803	291
861	1804	288
862	1806	286
863	1808	284
864	1809	282
865	1812	280
866	1814	278
867	1815	276
868	1817	274
869	1819	271
870	1821	269
871	1822	267
872	1824	265
873	1826	263
874	1829	261
875	1830	259
876	1832	257
877	1834	254
878	1835	252
879	1837	250
880	1839	248
881	1841	246
882	1842	244
883	1844	241
884	1845	239
885	1847	237
886	1848	235
887	1850	233
888	1852	231
889	1855	229
890	1856	227
891	1858	225
892	1860	222
893	1861	220
894	1863	218
895	1865	216
896	1866	214
897	1868	212
898	1870	210
899	1871	207
